benchmark,script,system,nodes,persistence_mode,time
Analytics,1.sh,bash,4,,1686.93
Analytics,1.sh,ahs,4,,704.166
Analytics,1.sh,dish,4,,203.138
Analytics,1.sh,fractal,4,,208.69
Analytics,2.sh,bash,4,,1674.08
Analytics,2.sh,ahs,4,,684.187
Analytics,2.sh,dish,4,,204.639
Analytics,2.sh,fractal,4,,209.808
Analytics,3.sh,bash,4,,2022.715
Analytics,3.sh,ahs,4,,783.313
Analytics,3.sh,dish,4,,275.281
Analytics,3.sh,fractal,4,,280.78
Analytics,4.sh,bash,4,,535.087
Analytics,4.sh,ahs,4,,650.844
Analytics,4.sh,dish,4,,103.214
Analytics,4.sh,fractal,4,,102.078
Analytics,temp-analytics.sh,bash,4,,1024.035
Analytics,temp-analytics.sh,ahs,4,,1206.291
Analytics,temp-analytics.sh,dish,4,,234.642
Analytics,temp-analytics.sh,fractal,4,,215.443
Analytics,1.sh,bash,4,,1689.747
Analytics,1.sh,ahs,4,,693.516
Analytics,1.sh,dish,4,,204.171
Analytics,1.sh,fractal,4,,210.382
Analytics,2.sh,bash,4,,1682.301
Analytics,2.sh,ahs,4,,691.45
Analytics,2.sh,dish,4,,204.591
Analytics,2.sh,fractal,4,,210.353
Analytics,3.sh,bash,4,,2036.924
Analytics,3.sh,ahs,4,,779.425
Analytics,3.sh,dish,4,,275.353
Analytics,3.sh,fractal,4,,282.72
Analytics,4.sh,bash,4,,533.085
Analytics,4.sh,ahs,4,,670.942
Analytics,4.sh,dish,4,,102.659
Analytics,4.sh,fractal,4,,102.535
Analytics,temp-analytics.sh,bash,4,,1022.258
Analytics,temp-analytics.sh,ahs,4,,1228.646
Analytics,temp-analytics.sh,dish,4,,238.835
Analytics,temp-analytics.sh,fractal,4,,219.296
Analytics,1.sh,bash,4,,1684.331
Analytics,1.sh,ahs,4,,704.721
Analytics,1.sh,dish,4,,209.561
Analytics,1.sh,fractal,4,,213.786
Analytics,2.sh,bash,4,,1679.187
Analytics,2.sh,ahs,4,,680.871
Analytics,2.sh,dish,4,,211.124
Analytics,2.sh,fractal,4,,211.774
Analytics,3.sh,bash,4,,2059.619
Analytics,3.sh,ahs,4,,795.603
Analytics,3.sh,dish,4,,282.266
Analytics,3.sh,fractal,4,,285.633
Analytics,4.sh,bash,4,,531.403
Analytics,4.sh,ahs,4,,662.093
Analytics,4.sh,dish,4,,111.868
